BR.A	BR.B	BR.C	DR.A	DR.C	DR.D
ofav106382	0	0	1	1	0	2
ofav106411	0	0	4	4	1	4
ofav106424	0	1	0	0	0	0
ofav106456	0	0	0	0	0	0
ofav10647	7	0	21	19	5	13
ofav106476	1	0	1	1	0	1
ofav10649	5	3	17	18	7	11
ofav106516	4	0	3	1	0	2
ofav106533	0	0	0	0	0	1
ofav106551	0	0	0	0	0	0
ofav106570	0	1	3	1	0	0
ofav106587	0	0	0	0	0	0
ofav106601	0	0	0	0	0	1
ofav106638	0	0	0	0	1	0
ofav10665	0	0	0	0	0	0
ofav106652	0	0	0	0	0	0
ofav106712	0	0	0	0	0	0
ofav106716	0	0	0	0	0	0
ofav10673	0	0	0	0	0	1
ofav106753	0	0	1	0	0	1
ofav106755	0	0	1	0	0	0
ofav1068	0	0	0	0	0	0
ofav106800	0	0	0	0	0	0
ofav106801	0	0	0	3	0	2
ofav106813	0	0	0	0	2	0
ofav106827	0	0	0	0	0	0
ofav106845	0	0	0	0	0	0
ofav106863	0	0	0	0	0	0
ofav106864	0	0	0	0	0	0
ofav106873	0	0	0	1	0	1
ofav106908	0	0	0	0	0	0
ofav106909	0	0	1	0	0	0
ofav106931	0	0	0	0	0	0
ofav106937	0	0	0	0	0	0
ofav10695	15	3	9	41	6	20
ofav107	0	0	0	0	0	0
ofav107017	1	0	1	0	0	0
ofav107045	0	0	0	0	0	0
ofav107046	0	0	0	0	0	0
ofav107048	1	0	1	0	1	2
ofav107059	3	0	8	0	1	1
ofav107070	0	0	0	1	0	0
ofav107071	0	0	2	0	0	0
ofav107092	0	0	0	0	0	0
ofav10712	1	4	2	5	3	6
ofav107130	0	0	0	0	0	0
ofav107131	0	0	0	0	0	0
ofav107156	0	0	0	0	0	2
ofav107161	4	0	1	2	1	1
ofav107164	2	2	9	2	0	2
ofav10718	1	0	3	1	0	0
ofav107199	0	0	0	0	0	0
ofav107245	1	0	2	1	0	1
ofav107265	0	0	0	0	0	0
ofav107267	0	0	0	0	0	0
ofav107290	0	0	0	0	0	1
ofav107300	0	0	1	0	0	0
ofav107305	0	0	1	0	1	0
ofav107332	0	0	0	0	0	1
ofav107370	0	0	0	0	0	0
ofav10738	0	0	0	0	0	2
ofav107391	0	0	0	0	0	0
ofav107399	0	0	0	0	0	0
ofav107425	0	0	0	0	0	0
ofav10743	0	0	7	13	0	13
ofav107431	0	0	0	1	0	0
ofav107448	0	0	0	0	0	0
ofav107463	0	0	0	0	0	0
ofav107486	0	0	0	0	0	0
ofav107514	0	0	0	2	0	0
ofav107541	0	0	0	0	0	0
ofav107566	38	4	16	18	3	4
ofav107582	0	0	0	0	0	0
ofav107607	0	0	0	0	0	1
ofav107614	1	0	2	1	0	0
ofav107628	0	0	1	0	0	0
ofav107644	0	0	0	1	0	0
ofav107665	0	0	0	0	0	1
ofav107743	0	0	0	0	0	0
ofav10775	2	2	10	12	6	12
ofav107750	0	0	0	0	0	0
ofav10776	0	0	0	0	0	0
ofav107760	2	0	2	0	0	1
ofav107779	0	0	0	0	0	1
ofav107803	0	0	3	0	0	0
ofav10782	0	0	0	0	0	0
ofav107836	0	0	0	0	0	0
ofav107893	0	0	1	0	0	0
ofav107894	4	0	5	4	0	2
ofav107939	0	0	1	1	0	3
ofav107957	0	0	0	0	0	1
ofav107972	1	1	1	0	0	7
ofav107977	0	0	3	2	0	0
ofav10799	19	11	23	27	14	31
ofav108	0	0	1	0	2	6
ofav108025	24	2	16	12	0	3
ofav108039	0	0	0	0	0	0
ofav108117	0	0	0	0	0	0
ofav108119	0	0	0	0	0	0
ofav108126	0	0	0	0	0	0
ofav108144	0	0	0	0	0	0
ofav108185	0	0	0	0	0	0
ofav10825	5	0	20	15	7	15
ofav108254	8	0	4	10	1	2
ofav10835	0	0	1	1	0	1
ofav108350	0	0	0	0	0	0
ofav10839	2	0	0	0	0	1
ofav108447	0	0	0	0	0	0
ofav108487	0	0	0	0	0	0
ofav10849	1	1	6	11	2	10
ofav108499	0	0	1	0	0	0
ofav10856	0	0	0	0	0	0
ofav108568	0	0	0	0	0	0
ofav108579	0	0	0	0	1	0
ofav108615	1	0	0	0	0	0
ofav108618	0	0	0	0	0	0
ofav10865	0	0	0	1	0	0
ofav108651	0	0	0	0	0	0
ofav108682	0	0	1	0	0	1
ofav108712	0	0	0	1	0	2
ofav108715	0	0	0	0	0	0
ofav10872	13	2	11	8	13	25
ofav108783	0	0	0	0	0	0
ofav108799	0	0	0	0	0	0
ofav108816	0	0	0	0	1	0
ofav108817	0	0	0	0	0	0
ofav108824	0	0	0	0	0	0
ofav108828	0	0	0	0	0	0
ofav108832	0	0	4	1	0	0
ofav108891	0	0	1	2	1	0
ofav10899	0	0	0	0	0	0
ofav109011	0	0	0	0	0	0
ofav109015	0	0	0	0	0	0
ofav109025	0	0	0	0	0	0
ofav109043	1	0	3	1	0	0
ofav109077	0	0	1	1	0	0
ofav109159	0	0	0	0	0	0
ofav109182	0	0	1	0	0	0
ofav109203	2	1	2	0	0	0
ofav109213	3	1	0	0	0	1
ofav109219	0	0	0	0	0	0
ofav109239	0	0	0	0	0	0
ofav109259	0	0	0	2	0	1
ofav109264	0	0	0	0	0	0
ofav109272	0	0	0	0	0	0
ofav109297	0	0	0	0	0	0
ofav109323	8	0	1	6	0	4
ofav109329	0	0	0	0	0	0
ofav109348	0	0	2	3	1	0
ofav109349	1	3	2	1	0	0
ofav109364	1	0	1	0	0	1
ofav10937	0	1	6	1	3	3
ofav109417	0	0	0	0	0	1
ofav109440	0	0	0	0	0	0
ofav109449	0	0	1	0	0	1
ofav109460	0	0	0	0	0	0
ofav109478	0	0	0	0	0	0
ofav109485	0	0	1	0	0	0
ofav109509	0	0	0	0	0	0
ofav109580	0	0	0	0	0	0
ofav109587	0	0	0	1	0	0
ofav109588	0	0	0	0	0	0
ofav1096	0	0	1	0	0	0
ofav109630	0	0	0	0	0	0
ofav109672	0	0	1	1	0	0
ofav109692	1	0	3	1	0	0
