baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ofav100505	0.467083093101746	0.212596365759621	3.4943574052902	0.0608399030499187	0.951486711126635	NA
ofav100515	3.63803492386544	1.48552906988436	1.62312289620674	0.91522895361532	0.360071447698679	NA
ofav10053	0.0921108850979318	-0.18763903986274	3.93377022886054	-0.0476995424100028	0.961955698793328	NA
ofav100532	0.708486325879337	-1.76601369670571	3.01984543886459	-0.584802676977301	0.558680404159668	NA
ofav10054	0.095856205391368	-1.55088834705819	3.95116248154811	-0.39251444462252	0.694678140669122	NA
ofav100561	0.399167124187521	0.523558706839768	3.65569732392379	0.14321719235711	0.886118652251192	NA
ofav10057	6.22483987920748	1.14229589577623	1.32396238696308	0.862785761154766	0.388255269281404	NA
ofav100571	0.159116166840224	-0.203816633911005	3.92689864678656	-0.0519026978396275	0.958606224610152	NA
ofav100578	0.375964114123325	-0.962936087029032	3.92043765049364	-0.245619538652218	0.805976762838672	NA
ofav10058	0.500641310019044	-0.362574901534476	3.35139378824555	-0.108186302309847	0.913847910352079	NA
ofav100589	0.280077975587232	0.0782260017011616	3.91899533143298	0.0199607284738863	0.984074700456654	NA
ofav100591	0.0269782635023581	-1.06695952159305	3.95530632712931	-0.269753954143783	0.787349549197328	NA
ofav100596	0.363877332360535	-0.734885758980829	3.83560753541565	-0.191595660451531	0.84805894199803	NA
ofav10061	0.122834468893726	-1.09013939891621	3.93831414956704	-0.276803565565244	0.781930943186601	NA
ofav100636	0.142352024953937	-0.32604106531952	3.92882402582016	-0.0829869353213031	0.933861927882152	NA
ofav10065	0.0670052817422918	-1.23770637938609	3.9494339324771	-0.313388298309828	0.753985673394504	NA
ofav100658	0.128422516189155	-1.0200890775792	3.93668171944274	-0.259124092390075	0.795539496446555	NA
ofav100664	0.135883223631302	-1.60982211526412	3.94668568190765	-0.407892151798116	0.683352854870823	NA
ofav100681	0.130295176335873	-1.71667355217391	3.95002269057459	-0.43459840275606	0.66385395459807	NA
ofav100694	0.0269782635023581	-1.06695952159305	3.95530632712931	-0.269753954143783	0.787349549197328	NA
ofav1007	0.201896599254082	0.0673649052667331	3.92315444204174	0.0171711071439936	0.986300111949524	NA
ofav10070	8.57811724652782	0.938664805485062	1.12593453515153	0.833676182921889	0.404463482802096	NA
ofav100748	4.25851804971412	-0.594873092493977	1.47149443819625	-0.404264587790878	0.686018163125919	NA
ofav100755	0.285695956027386	-0.915682369119018	3.92381797383727	-0.23336514976599	0.815477872582779	NA
ofav100762	0.0939835452446499	-0.813758277104485	3.93829372623067	-0.206627116632901	0.836301081237578	NA
ofav10079	0.323850314120602	-0.658144521612252	3.92004351218202	-0.167892147004743	0.866668128218311	NA
ofav100825	0.19168247763801	0.0060810134398285	3.92394149369216	0.00154972072076097	0.998763502258284	NA
ofav100839	0.789201832312659	-1.11544815502524	2.81991478783429	-0.395560943840402	0.692428954153058	NA
ofav100854	4.56692820680232	0.691611547430385	1.53762258418216	0.449792786958995	0.652859859317515	NA
ofav10087	0.128422516189155	-1.0200890775792	3.93668171944274	-0.259124092390075	0.795539496446555	NA
ofav10088	0.115373761451579	-0.567990252143734	3.93313591494571	-0.144411549569238	0.885175497169908	NA
ofav100898	0.164734147280378	-1.8559581774692	3.94915811007017	-0.469962996096964	0.638381455257598	NA
ofav100922	0.034438970944505	-2.25268432147763	3.9926664284573	-0.564205490702119	0.572614291503488	NA
ofav100929	0.262433079673738	-0.71521641681457	3.92326449375734	-0.182301350814511	0.855346238651663	NA
ofav100939	0.126549856042437	-0.465236458916739	3.93121873401607	-0.118344078616419	0.90579503308236	NA
ofav100940	0.354573897916396	-1.12000829347675	3.86479232813732	-0.2897977946506	0.771970935121666	NA
ofav100995	0.285695956027386	-0.915682369119018	3.92381797383727	-0.23336514976599	0.815477872582779	NA
ofav1010	0.0688779418890099	-2.45901504909529	3.991076184851	-0.616128316074001	0.537809834863851	NA
ofav101030	0.034438970944505	-2.25268432147763	3.9926664284573	-0.564205490702119	0.572614291503488	NA
ofav101037	0.13775588377802	-2.76408368789499	3.98909162257778	-0.692910554435654	0.488365685711945	NA
ofav10105	0.765797870721982	0.36165869686899	2.8434408598503	0.127190511318752	0.898789615257865	NA
ofav101052	0.0269782635023581	-1.06695952159305	3.95530632712931	-0.269753954143783	0.787349549197328	NA
ofav101066	0.721144778161405	0.441960625728551	2.91031193127831	0.151860225352004	0.879297179943059	NA
ofav101071	0.128422516189155	-1.0200890775792	3.93668171944274	-0.259124092390075	0.795539496446555	NA
ofav101073	1.3528209333065	1.36173444887957	2.32321627404977	0.58614192061673	0.557780147430474	NA
ofav101074	3.46548033543944	1.02030920578056	1.60573945513256	0.635413922550922	0.525158490149388	NA
ofav1011	0.134010563484584	-0.954221579666823	3.93521471934748	-0.242482722728037	0.80840614272299	NA
