,B,B,B,D,D,D,pval.BD,padj.BD
ofav100297,-1.31492607793034,-1.29051195427849,-1.34220480505448,-1.35876045518451,-1.29785618407768,-1.35879060374918,0.572614291503488,NA
ofav100312,-0.61392094598719,-0.480603589321806,-0.803375493857475,-0.56498802872296,-0.520707969783434,-0.601142638817966,0.862642518198385,NA
ofav100343,-0.360054438714076,-0.175244290365964,-0.431491871913083,-0.127330880534071,-0.230838675732644,-0.404698659420986,0.903713642435892,NA
ofav100354,-0.364764342842154,-0.169736993827384,-0.0433596279221353,-0.636444611261761,-0.228404906250387,-0.292290985464295,0.788909945191375,NA
ofav100376,-1.37005852755929,-1.3507448893181,-1.40569915486297,-1.4057057289689,-1.35655479671123,-1.39503646645257,0.787349549197328,NA
ofav10039,0.149872087497918,0.459803222072801,0.805893034220468,0.215560422021796,0.366570079376367,0.835304367464313,0.990248130428383,NA
ofav100393,0.102135963606045,0.406772628173926,0.989854052497858,0.2604031506591,0.315132162116262,0.32643359997754,0.765201445959096,NA
ofav100415,-0.433780759653981,-0.26526509245842,-0.303301356141732,-0.377477875620229,-0.315957789943553,-0.595254372333143,0.873150305898019,NA
ofav100419,3.30669810165276,3.69230539455905,3.51436503962193,2.6230908382502,4.45523790140494,2.53217430799297,0.783005377999272,0.949739453725068
ofav100429,-0.55740115435096,-0.396569266875244,-0.267523892751391,-0.707969845777272,-0.444950538204205,-0.793362816305806,0.584253759043711,NA
ofav100459,-1.31492607793034,-1.29051195427849,-1.34220480505448,-1.35876045518451,-1.29785618407768,-1.35879060374918,0.572614291503488,NA
ofav100468,1.9287060885932,0.892129396263719,0.740173268097821,1.46527296667348,0.770170951584538,1.04601881097223,0.880526488307976,NA
ofav100479,-1.37005852755929,-1.3507448893181,-1.40569915486297,-1.4057057289689,-1.35655479671123,-1.39503646645257,0.787349549197328,NA
ofav100505,-0.270779189984932,-0.0593260939440172,-0.189377137057626,-0.454853393374651,-0.122935181504151,0.0975951240441383,0.951486711126635,NA
ofav100515,0.697746129676009,1.14912196614315,1.62197209495382,2.00721529350965,2.6939512311407,1.46204014199811,0.360071447698679,NA
ofav10053,-1.04215000000285,-0.981432152145564,-1.14220107160974,-1.07343639844513,-0.999697228293088,-1.11293887599993,0.961955698793328,NA
ofav100532,0.180561829253441,-0.212345757358691,-0.612080775642634,-0.500034954856581,-0.292638840675657,-0.972351785746116,0.558680404159668,NA
ofav10054,-1.0307938994589,-0.967893742314918,-1.05932419759325,-1.13461932517714,-0.986815298339539,-1.10415071180037,0.694678140669122,NA
ofav100561,-0.312001580804536,-0.120426228804724,-0.38300720837642,-0.130169431969586,-0.178055715286027,-0.242206787276852,0.886118652251192,NA
ofav10057,1.16187816894983,1.60217750563308,2.87808424654031,3.01319696181833,3.09991609294285,2.87768462412315,0.388255269281404,NA
ofav100571,-0.798843428586666,-0.701860871474431,-0.889877964773522,-0.801035158892847,-0.731035057535836,-0.901530422042728,0.958606224610152,NA
