	BR-A-fav_uptake_S1_L007_R1_001.fastq.trim.sam.counts	BR-B-fav_uptake_S2_L007_R1_001.fastq.trim.sam.counts	BR-C-fav_uptake_S3_L007_R1_001.fastq.trim.sam.counts	BR-D-fav_uptake_S4_L007_R1_001.fastq.trim.sam.counts	CR-A-fav_uptake_S5_L007_R1_001.fastq.trim.sam.counts	CR-B-fav_uptake_S6_L007_R1_001.fastq.trim.sam.counts	CR-C-fav_uptake_S7_L007_R1_001.fastq.trim.sam.counts	DR-A-fav_uptake_S8_L007_R1_001.fastq.trim.sam.counts	DR-B-fav_uptake_S9_L007_R1_001.fastq.trim.sam.counts	DR-C-fav_uptake_S10_L007_R1_001.fastq.trim.sam.counts	DR-D-fav_uptake_S11_L007_R1_001.fastq.trim.sam.counts	
ofav102027	0	0	0	0	0	0	0	0	0	0	1	
ofav102033	0	0	2	0	0	0	0	0	0	0	0	
ofav102071	0	0	6	0	0	0	0	0	0	0	0	
ofav102078	0	1	7	0	0	0	0	3	0	0	6	
ofav102087	2	0	74	0	0	0	0	22	0	0	30	
ofav10209	4	0	34	0	0	0	0	41	0	2	65	
ofav102105	0	0	10	0	0	0	0	9	0	0	24	
ofav102113	0	0	2	0	0	0	0	6	0	1	6	
ofav102116	0	0	1	0	0	0	0	0	0	0	0	
ofav102159	8	0	8	0	0	0	0	8	0	0	13	
ofav10216	0	0	2	0	0	0	0	1	0	2	15	
ofav102201	0	0	2	0	0	0	0	0	0	0	1	
ofav102313	0	0	1	0	0	0	0	0	0	0	0	
ofav102370	10	0	32	0	0	0	0	17	0	1	13	
ofav1024	0	0	1	0	0	0	0	2	0	0	0	
ofav102408	0	0	2	0	0	0	0	0	0	0	3	
ofav102438	0	0	31	0	0	0	0	9	0	0	29	
ofav102473	0	0	0	0	0	0	0	2	0	0	0	
ofav102480	0	0	1	0	0	0	0	2	0	0	11	
ofav102494	0	0	0	0	0	0	0	2	0	0	0	
ofav102497	0	0	1	0	0	0	0	0	0	0	0	
ofav10250	0	2	74	0	0	0	0	48	0	1	96	
ofav10253	0	0	34	0	0	0	0	10	0	1	9	
ofav102539	0	0	5	0	0	0	0	2	0	0	1	
ofav102555	0	0	3	0	0	0	0	1	0	0	2	
ofav102566	0	0	27	0	0	0	0	3	0	0	12	
ofav102570	0	0	1	0	0	0	0	0	0	0	0	
ofav102576	0	0	11	0	0	0	0	2	0	0	3	
ofav102593	0	0	1	0	0	0	0	3	0	0	0	
ofav102625	0	0	1	0	0	0	0	0	0	0	0	
ofav102638	1	0	6	0	0	0	0	4	0	1	4	
ofav102658	0	0	6	0	0	0	0	6	0	0	2	
ofav10269	8	25	106	0	0	0	0	125	0	4	62	
ofav102699	0	0	1	0	0	0	0	1	0	0	2	
ofav102738	0	0	2	0	0	0	0	0	0	0	1	
ofav102747	2	5	52	0	0	0	0	35	0	1	31	
ofav102748	0	0	0	0	0	0	0	1	0	0	0	
ofav102759	0	0	3	0	0	0	0	0	0	0	2	
ofav102762	30	0	183	1	0	0	0	148	0	4	93	
ofav102767	0	0	3	0	0	0	0	2	0	1	5	
ofav102821	0	0	0	0	0	0	0	1	0	0	3	
ofav102874	0	0	0	0	0	0	0	4	0	0	3	
ofav102875	0	0	36	0	0	0	0	3	0	1	7	
ofav102881	2	0	43	0	0	0	0	28	0	0	38	
ofav102887	0	0	0	0	0	0	0	0	0	1	0	
ofav102894	0	0	11	0	0	0	0	0	0	0	3	
ofav102898	0	0	1	0	0	0	0	3	0	0	1	
ofav102899	0	0	0	0	0	0	0	3	0	0	0	
ofav102908	0	0	14	0	0	0	0	5	0	0	9	
ofav102945	14	0	13	0	0	0	0	26	0	0	8	
ofav10299	0	0	5	0	0	0	0	1	0	0	1	
ofav1030	0	0	0	0	0	0	0	2	0	0	5	
ofav103059	6	0	26	0	0	0	0	15	0	0	24	
ofav103063	0	0	0	0	0	0	0	2	0	0	0	
ofav103086	0	0	4	0	0	0	0	1	0	0	5	
ofav103099	8	0	31	0	0	0	0	25	0	3	17	
ofav1031	0	0	1	0	0	0	0	2	0	0	1	
ofav103117	0	0	4	0	0	0	0	1	0	0	2	
ofav103125	0	0	5	0	0	0	0	8	0	0	7	
ofav103158	14	0	43	0	0	0	0	41	0	0	32	
ofav103160	1	0	1	0	0	0	0	0	0	0	0	
ofav103198	0	0	1	0	0	0	0	4	0	0	6	
ofav103227	0	0	1	0	0	0	0	7	0	0	3	
ofav103258	0	0	1	0	0	0	0	3	0	0	3	
ofav103263	0	0	0	0	0	0	0	5	0	0	1	
ofav10328	0	0	2	0	0	0	0	4	0	0	3	
ofav10329	1	0	223	0	0	1	0	174	0	10	547	
ofav103293	0	0	11	0	0	0	0	6	0	0	4	
ofav103346	0	0	9	0	0	0	0	24	0	0	21	
ofav103373	0	0	0	0	0	0	0	0	0	0	4	
ofav1034	0	0	28	0	0	0	0	30	0	1	48	
ofav103401	0	0	2	0	0	0	0	0	0	0	0	
ofav103413	0	0	4	0	0	0	0	0	0	1	1	
ofav103425	0	0	1	0	0	0	0	0	0	0	0	
ofav103459	0	0	2	0	0	0	0	2	0	0	1	
ofav103460	0	0	1	0	0	0	0	6	0	0	0	
ofav103471	8	0	1	0	0	0	0	1	0	0	0	
ofav103473	0	0	0	0	0	0	0	0	0	0	1	
ofav103483	0	0	4	0	0	0	0	5	0	0	0	
ofav103488	0	0	1	0	0	0	0	1	0	0	0	
ofav103504	0	0	18	0	0	0	0	17	0	0	24	
ofav103525	0	0	3	0	0	0	0	0	0	0	2	
ofav103558	0	0	0	0	0	0	0	5	0	1	10	
ofav103567	0	0	0	0	0	0	0	0	0	0	2	
ofav103609	0	0	1	0	0	0	0	0	0	0	0	
ofav103616	0	0	10	0	0	0	0	5	0	0	10	
